ID,PRODUCT,amenities,anal,BDSM,femenino,masculino,juguetes,lenceria,muebles
465,AVATAR PRIDE,False,False,True,True,False,True,False,False
466,RAMPANT RABBIT Conejito doble Vibrador de silicona recargable,False,False,False,True,False,True,False,False
467,Desliz! Eco Fresa,True,False,False,False,False,False,False,False
468,SOTTILE,True,True,False,False,False,True,False,False
469,GUSSTO,False,False,False,False,False,True,False,False
470,PROFILARK  tu esterilizador para juguetes definitivo,False,False,False,False,False,False,False,False
471,CHAMPI – Seta multi_vibradora sumergible,True,False,False,False,False,False,False,False
472,JENNA,False,False,False,True,False,False,False,False
473,BRILLI,False,False,False,False,False,False,True,False
474,BODY CHAIN BRA,False,False,False,False,False,False,True,False
475,SUSU,False,False,False,False,False,False,True,False
476,Medias rejilla con diferentes tamaños de rejilla,False,False,False,False,False,False,True,False
477,HULA_DOM BLACK,False,False,True,False,False,False,False,False
478,SEDA·T DOUBLE,False,True,False,True,True,True,False,False
479,TOK3,False,False,False,False,False,True,False,False
480,Inmovilizador y posicionador acolchado para tobillos de amantis,False,False,False,False,False,False,False,False
481,Azotador Glamour con mango de pedrería,False,False,True,False,False,False,False,False
482,Mordaza metálica de araña,False,False,True,False,False,False,False,False
483,Conjunto Brutal liguero,False,False,False,False,False,False,True,False
484,AUDREY,False,True,False,True,False,False,False,False
485,Plug anal de silicona con vibración y anilla Black Line,False,True,False,False,True,True,False,False
486,Joya_body,False,False,False,False,False,False,True,False
487,SexChair Deluxe,False,False,False,False,False,False,False,True
488,GLÖBE Esfera inflable vaginal,True,False,False,False,False,False,False,False
489,STICK,True,True,False,False,False,False,False,False
490,ELECTRA vibrador estriado elegante y galáctico,False,False,False,True,False,True,True,False
